sequence,functional_domain,source_reference,title,source_scope,spec_path
145,patient-identity-management,UC-Participant-Relationship-3,Update a Relationship,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-3-update-a-relationship/spec.md
146,patient-identity-management,UC-Participant-Relationship-4,Remove a Relationship,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-4-remove-a-relationship/spec.md
147,patient-identity-management,UC-Participant-Relationship-5,Nominate a Next of Kin,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-5-nominate-a-next-of-kin/spec.md
148,patient-identity-management,UC-Participant-Relationship-6,Nominate an Emergency Contact,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-6-nominate-an-emergency-contact/spec.md
149,patient-identity-management,UC-Participant-Relationship-7,Register a Parent or Guardian,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-7-register-a-parent-or-guardian/spec.md
150,patient-identity-management,UC-Participant-Relationship-8,Register a Carer,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-8-register-a-carer/spec.md
151,patient-identity-management,UC-Participant-Relationship-9,Register a Support Person,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-9-register-a-support-person/spec.md
152,patient-identity-management,UC-Participant-Relationship-10,Register a Substitute Decision Maker,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-10-register-a-substitute-decision-maker/spec.md
153,patient-identity-management,UC-Participant-Relationship-11,Register a Power of Attorney,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-11-register-a-power-of-attorney/spec.md
154,patient-identity-management,UC-Participant-Relationship-12,Register a Medical Decision Maker,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-12-register-a-medical-decision-maker/spec.md
155,patient-identity-management,UC-Participant-Relationship-13,Define Relationship Scope,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-13-define-relationship-scope/spec.md
156,patient-identity-management,UC-Participant-Relationship-14,Specify Relationship Duration,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-14-specify-relationship-duration/spec.md
157,patient-identity-management,UC-Participant-Relationship-15,Upload Supporting Documentation,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-15-upload-supporting-documentation/spec.md
158,patient-identity-management,UC-Participant-Relationship-16,Manage Contact Preferences for Relationships,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-16-manage-contact-preferences-for-relationships/spec.md
159,patient-identity-management,UC-Participant-Relationship-17,Receive Requests to Confirm Relationships,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-17-receive-requests-to-confirm-relationships/spec.md
160,patient-identity-management,UC-Participant-Relationship-18,Accept a Relationship Nomination,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-18-accept-a-relationship-nomination/spec.md
161,patient-identity-management,UC-Participant-Relationship-19,Decline a Relationship Nomination,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-19-decline-a-relationship-nomination/spec.md
162,patient-identity-management,UC-Participant-Relationship-20,View Relationship History,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-20-view-relationship-history/spec.md
163,patient-identity-management,UC-RelatedPerson-Relationship-1,View My Relationships,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-1-view-my-relationships/spec.md
164,patient-identity-management,UC-RelatedPerson-Relationship-2,Accept a Relationship Request,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-2-accept-a-relationship-request/spec.md
165,patient-identity-management,UC-RelatedPerson-Relationship-3,Decline a Relationship Request,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-3-decline-a-relationship-request/spec.md
166,patient-identity-management,UC-RelatedPerson-Relationship-4,View My Relationship Details,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-4-view-my-relationship-details/spec.md
167,patient-identity-management,UC-RelatedPerson-Relationship-5,Request a Relationship Update,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-5-request-a-relationship-update/spec.md
168,patient-identity-management,UC-RelatedPerson-Relationship-6,End a Relationship,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-6-end-a-relationship/spec.md
169,patient-identity-management,UC-RelatedPerson-Relationship-7,Upload Supporting Documentation,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-7-upload-supporting-documentation/spec.md
170,patient-identity-management,UC-RelatedPerson-Relationship-8,Respond to Verification Requests,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-8-respond-to-verification-requests/spec.md
171,patient-identity-management,UC-RelatedPerson-Relationship-9,View My Relationship Status,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-9-view-my-relationship-status/spec.md
172,patient-identity-management,UC-RelatedPerson-Relationship-10,Receive Relationship Notifications,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-10-receive-relationship-notifications/spec.md
173,patient-identity-management,UC-RelatedPerson-Relationship-11,Manage My Contact Details,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-11-manage-my-contact-details/spec.md
174,patient-identity-management,UC-RelatedPerson-Relationship-12,Manage My Communication Preferences,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-12-manage-my-communication-preferences/spec.md
175,patient-identity-management,UC-RelatedPerson-Relationship-13,View My Authorisations,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-13-view-my-authorisations/spec.md
176,patient-identity-management,UC-RelatedPerson-Relationship-14,Acknowledge My Responsibilities,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-14-acknowledge-my-responsibilities/spec.md
177,patient-identity-management,UC-RelatedPerson-Relationship-15,View Relationship History,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-15-view-relationship-history/spec.md
178,patient-identity-management,UC-RelatedPerson-Relationship-16,Manage Multiple Relationships,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-16-manage-multiple-relationships/spec.md
179,patient-identity-management,UC-RelatedPerson-Relationship-17,Request Additional Authority,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-17-request-additional-authority/spec.md
180,patient-identity-management,UC-RelatedPerson-Relationship-18,Relinquish My Authority,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-18-relinquish-my-authority/spec.md
181,patient-identity-management,UC-RelatedPerson-Relationship-19,Confirm Ongoing Relationship,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-19-confirm-ongoing-relationship/spec.md
182,patient-identity-management,UC-RelatedPerson-Relationship-20,Access Linked Participant Information,Scope – Relationships,openspec/specs/patient-identity-management/uc-relatedperson-relationship-20-access-linked-participant-information/spec.md
183,consent-and-information-sharing,UC-Participant-Consent-1,View My Consents,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-1-view-my-consents/spec.md
184,consent-and-information-sharing,UC-Participant-Consent-2,Provide a New Consent,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-2-provide-a-new-consent/spec.md
185,consent-and-information-sharing,UC-Participant-Consent-3,Withdraw Consent,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-3-withdraw-consent/spec.md
186,consent-and-information-sharing,UC-Participant-Consent-4,Update My Consent Preferences,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-4-update-my-consent-preferences/spec.md
187,consent-and-information-sharing,UC-Participant-Consent-5,View Consent Details,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-5-view-consent-details/spec.md
188,consent-and-information-sharing,UC-Participant-Consent-6,Specify Consent Duration,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-6-specify-consent-duration/spec.md
189,consent-and-information-sharing,UC-Participant-Consent-7,Restrict Information Sharing,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-7-restrict-information-sharing/spec.md
190,consent-and-information-sharing,UC-Participant-Consent-8,Authorise Specific Organisations,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-8-authorise-specific-organisations/spec.md
191,consent-and-information-sharing,UC-Participant-Consent-9,Authorise Specific Healthcare Providers,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-9-authorise-specific-healthcare-providers/spec.md
192,consent-and-information-sharing,UC-Participant-Consent-10,Authorise a Related Person,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-10-authorise-a-related-person/spec.md
193,consent-and-information-sharing,UC-Participant-Consent-11,Restrict Sensitive Information,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-11-restrict-sensitive-information/spec.md
194,consent-and-information-sharing,UC-Participant-Consent-12,Consent to Treatment,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-12-consent-to-treatment/spec.md
195,consent-and-information-sharing,UC-Participant-Consent-13,Consent to Research,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-13-consent-to-research/spec.md
196,consent-and-information-sharing,UC-Participant-Consent-14,Consent to Information Sharing,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-14-consent-to-information-sharing/spec.md
197,consent-and-information-sharing,UC-Participant-Consent-15,Consent to Electronic Communications,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-15-consent-to-electronic-communications/spec.md
198,consent-and-information-sharing,UC-Participant-Consent-16,View Consent History,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-16-view-consent-history/spec.md
199,consent-and-information-sharing,UC-Participant-Consent-17,Receive Consent Renewal Requests,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-17-receive-consent-renewal-requests/spec.md
200,consent-and-information-sharing,UC-Participant-Consent-18,Receive Confirmation of Consent Changes,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-18-receive-confirmation-of-consent-changes/spec.md
201,consent-and-information-sharing,UC-Participant-Consent-19,View Who Can Access My Information,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-19-view-who-can-access-my-information/spec.md
202,consent-and-information-sharing,UC-Participant-Consent-20,Review Access Made Under My Consents,Scope – Consent,openspec/specs/consent-and-information-sharing/uc-participant-consent-20-review-access-made-under-my-consents/spec.md
203,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-1,Create Reference Data Set,Scope - Reference Data Set Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-1-create-reference-data-set/spec.md
204,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-2,Define Reference Data Set Structure,Scope - Reference Data Set Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-2-define-reference-data-set-structure/spec.md
205,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-3,Maintain Reference Data Values,Scope - Reference Data Set Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-3-maintain-reference-data-values/spec.md
206,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-4,Manage Reference Data Categories,Scope - Reference Data Set Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-4-manage-reference-data-categories/spec.md
207,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-5,Define Reference Data Relationships,Scope - Reference Data Set Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-5-define-reference-data-relationships/spec.md
208,terminology-and-reference-data,UC-DepartmentalOfficer-Terminology-1,Manage Clinical Terminology Sets,Scope - Terminology Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-terminology-1-manage-clinical-terminology-sets/spec.md
209,terminology-and-reference-data,UC-DepartmentalOfficer-Terminology-2,Import External Terminology Content,Scope - Terminology Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-terminology-2-import-external-terminology-content/spec.md
210,terminology-and-reference-data,UC-DepartmentalOfficer-Terminology-3,Validate Terminology Content,Scope - Terminology Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-terminology-3-validate-terminology-content/spec.md
211,terminology-and-reference-data,UC-DepartmentalOfficer-Terminology-4,Manage Terminology Versions,Scope - Terminology Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-terminology-4-manage-terminology-versions/spec.md
212,terminology-and-reference-data,UC-DepartmentalOfficer-Terminology-5,Retire Deprecated Terminology,Scope - Terminology Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-terminology-5-retire-deprecated-terminology/spec.md
213,terminology-and-reference-data,UC-DepartmentalOfficer-CodeSet-1,Create Code Set,Scope - Code Set and Value Set Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-codeset-1-create-code-set/spec.md
214,terminology-and-reference-data,UC-DepartmentalOfficer-CodeSet-2,Manage Code Set Members,Scope - Code Set and Value Set Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-codeset-2-manage-code-set-members/spec.md
215,terminology-and-reference-data,UC-DepartmentalOfficer-CodeSet-3,Define Value Sets,Scope - Code Set and Value Set Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-codeset-3-define-value-sets/spec.md
216,terminology-and-reference-data,UC-DepartmentalOfficer-CodeSet-4,Map Between Code Systems,Scope - Code Set and Value Set Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-codeset-4-map-between-code-systems/spec.md
217,terminology-and-reference-data,UC-DepartmentalOfficer-CodeSet-5,Review Code System Changes,Scope - Code Set and Value Set Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-codeset-5-review-code-system-changes/spec.md
218,terminology-and-reference-data,UC-DepartmentalOfficer-Classification-1,Manage Clinical Classifications,Scope - Clinical Classification Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-classification-1-manage-clinical-classifications/spec.md
219,terminology-and-reference-data,UC-DepartmentalOfficer-Classification-2,Manage Diagnosis Classifications,Scope - Clinical Classification Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-classification-2-manage-diagnosis-classifications/spec.md
220,terminology-and-reference-data,UC-DepartmentalOfficer-Classification-3,Manage Procedure Classifications,Scope - Clinical Classification Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-classification-3-manage-procedure-classifications/spec.md
221,terminology-and-reference-data,UC-DepartmentalOfficer-Classification-4,Maintain Clinical Concept Mappings,Scope - Clinical Classification Management,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-classification-4-maintain-clinical-concept-mappings/spec.md
222,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-6,Submit Reference Data Change Request,Scope - Governance and Approval,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-6-submit-reference-data-change-request/spec.md
223,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-7,Review Reference Data Changes,Scope - Governance and Approval,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-7-review-reference-data-changes/spec.md
224,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-8,Approve Reference Data Changes,Scope - Governance and Approval,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-8-approve-reference-data-changes/spec.md
225,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-9,Reject Reference Data Changes,Scope - Governance and Approval,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-9-reject-reference-data-changes/spec.md
226,governance-quality-and-audit,UC-DepartmentalOfficer-ReferenceData-10,Maintain Data Ownership Information,Scope - Governance and Approval,openspec/specs/governance-quality-and-audit/uc-departmentalofficer-referencedata-10-maintain-data-ownership-information/spec.md
227,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-11,Publish Reference Data Set,Scope - Publication and Distribution,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-11-publish-reference-data-set/spec.md
228,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-12,Manage Reference Data Availability,Scope - Publication and Distribution,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-12-manage-reference-data-availability/spec.md
229,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-13,Notify Consumers of Changes,Scope - Publication and Distribution,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-13-notify-consumers-of-changes/spec.md
230,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-14,Manage Reference Data Distribution Channels,Scope - Publication and Distribution,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-14-manage-reference-data-distribution-channels/spec.md
231,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-15,Validate Reference Data Quality,Scope - Data Quality and Compliance,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-15-validate-reference-data-quality/spec.md
232,governance-quality-and-audit,UC-DepartmentalOfficer-ReferenceData-16,Identify Duplicate Reference Values,Scope - Data Quality and Compliance,openspec/specs/governance-quality-and-audit/uc-departmentalofficer-referencedata-16-identify-duplicate-reference-values/spec.md
233,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-17,Audit Reference Data Changes,Scope - Data Quality and Compliance,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-17-audit-reference-data-changes/spec.md
234,terminology-and-reference-data,UC-DepartmentalOfficer-ReferenceData-18,Report Reference Data Usage,Scope - Data Quality and Compliance,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-referencedata-18-report-reference-data-usage/spec.md
235,terminology-and-reference-data,UC-DepartmentalOfficer-Terminology-6,Manage Terminology Expansion Requests,Scope - Advanced Terminology Capabilities,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-terminology-6-manage-terminology-expansion-requests/spec.md
236,terminology-and-reference-data,UC-DepartmentalOfficer-Terminology-7,Manage Local Extensions,Scope - Advanced Terminology Capabilities,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-terminology-7-manage-local-extensions/spec.md
237,terminology-and-reference-data,UC-DepartmentalOfficer-Terminology-8,Compare Terminology Versions,Scope - Advanced Terminology Capabilities,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-terminology-8-compare-terminology-versions/spec.md
238,terminology-and-reference-data,UC-DepartmentalOfficer-Terminology-9,Validate Terminology Mappings,Scope - Advanced Terminology Capabilities,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-terminology-9-validate-terminology-mappings/spec.md
239,terminology-and-reference-data,UC-DepartmentalOfficer-Terminology-10,Manage Terminology Release Cycles,Scope - Advanced Terminology Capabilities,openspec/specs/terminology-and-reference-data/uc-departmentalofficer-terminology-10-manage-terminology-release-cycles/spec.md
240,patient-identity-management,UC-DepartmentalOfficer-Identity-1,Patient Identity Validation,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-1-patient-identity-validation/spec.md
241,patient-identity-management,UC-DepartmentalOfficer-Identity-2,Identity Verification,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-2-identity-verification/spec.md
242,patient-identity-management,UC-DepartmentalOfficer-Identity-3,Identity Evidence Review,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-3-identity-evidence-review/spec.md
243,patient-identity-management,UC-DepartmentalOfficer-Identity-4,Resolve Identity Discrepancies,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-4-resolve-identity-discrepancies/spec.md
244,patient-identity-management,UC-DepartmentalOfficer-Identity-5,Identity Record Update,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-5-identity-record-update/spec.md
245,patient-identity-management,UC-DepartmentalOfficer-Identity-6,Duplicate Identity Detection,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-6-duplicate-identity-detection/spec.md
246,patient-identity-management,UC-DepartmentalOfficer-Identity-7,Duplicate Identity Resolution,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-7-duplicate-identity-resolution/spec.md
247,patient-identity-management,UC-DepartmentalOfficer-Identity-8,Identity Exception Management,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-8-identity-exception-management/spec.md
248,patient-identity-management,UC-DepartmentalOfficer-Identity-9,Identity Status Review,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-9-identity-status-review/spec.md
249,patient-identity-management,UC-DepartmentalOfficer-Identity-10,Identity Suspension,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-10-identity-suspension/spec.md
250,patient-identity-management,UC-DepartmentalOfficer-Identity-11,Identity Reactivation,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-11-identity-reactivation/spec.md
251,patient-identity-management,UC-DepartmentalOfficer-Identity-12,Identity Audit Review,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-12-identity-audit-review/spec.md
252,patient-identity-management,UC-DepartmentalOfficer-Identity-13,Identity Access Approval,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-13-identity-access-approval/spec.md
253,patient-identity-management,UC-DepartmentalOfficer-Identity-14,Identity Correction Request,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-14-identity-correction-request/spec.md
254,patient-identity-management,UC-DepartmentalOfficer-Identity-15,Identity Document Management,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-15-identity-document-management/spec.md
255,patient-identity-management,UC-DepartmentalOfficer-Identity-16,Identity Verification Renewal,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-16-identity-verification-renewal/spec.md
256,patient-identity-management,UC-DepartmentalOfficer-Identity-17,Identity Risk Assessment,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-17-identity-risk-assessment/spec.md
257,patient-identity-management,UC-DepartmentalOfficer-Identity-18,Identity Search,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-18-identity-search/spec.md
258,patient-identity-management,UC-DepartmentalOfficer-Identity-19,Identity Linkage,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-19-identity-linkage/spec.md
259,patient-identity-management,UC-DepartmentalOfficer-Identity-20,Identity Reporting,Scope - Patient / Related Person Identity,openspec/specs/patient-identity-management/uc-departmentalofficer-identity-20-identity-reporting/spec.md
260,provider-management,UC-DepartmentalOfficer-ProviderDirectory-1,Register a Clinician,Scope - Clinician Registration,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-1-register-a-clinician/spec.md
261,provider-management,UC-DepartmentalOfficer-ProviderDirectory-2,Verify Clinician Identity,Scope - Clinician Registration,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-2-verify-clinician-identity/spec.md
262,provider-management,UC-DepartmentalOfficer-ProviderDirectory-3,Verify Professional Registration,Scope - Clinician Registration,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-3-verify-professional-registration/spec.md
263,provider-management,UC-DepartmentalOfficer-ProviderDirectory-4,Verify Qualifications,Scope - Clinician Registration,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-4-verify-qualifications/spec.md
264,provider-management,UC-DepartmentalOfficer-ProviderDirectory-5,Review Profile Changes,Scope - Profile Management,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-5-review-profile-changes/spec.md
265,provider-management,UC-DepartmentalOfficer-ProviderDirectory-6,Approve Profile Updates,Scope - Profile Management,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-6-approve-profile-updates/spec.md
266,provider-management,UC-DepartmentalOfficer-ProviderDirectory-7,Reject Profile Updates,Scope - Profile Management,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-7-reject-profile-updates/spec.md
267,provider-management,UC-DepartmentalOfficer-ProviderDirectory-8,Maintain Clinician Profiles,Scope - Profile Management,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-8-maintain-clinician-profiles/spec.md
268,provider-management,UC-DepartmentalOfficer-ProviderDirectory-9,Manage Organisation Affiliations,Scope -	Organisation and Role Management,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-9-manage-organisation-affiliations/spec.md
269,provider-management,UC-DepartmentalOfficer-ProviderDirectory-10,Manage Clinician Roles,Scope -	Organisation and Role Management,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-10-manage-clinician-roles/spec.md
270,provider-management,UC-DepartmentalOfficer-ProviderDirectory-11,Manage Practice Locations,Scope -	Organisation and Role Management,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-11-manage-practice-locations/spec.md
271,provider-management,UC-DepartmentalOfficer-ProviderDirectory-12,Manage Service Availability,Scope -	Organisation and Role Management,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-12-manage-service-availability/spec.md
272,provider-management,UC-DepartmentalOfficer-ProviderDirectory-13,Manage Professional Credentials,Scope - Credentials and Authorisations,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-13-manage-professional-credentials/spec.md
273,provider-management,UC-DepartmentalOfficer-ProviderDirectory-14,Monitor Credential Expiry,Scope - Credentials and Authorisations,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-14-monitor-credential-expiry/spec.md
274,provider-management,UC-DepartmentalOfficer-ProviderDirectory-15,Suspend Clinician Listings,Scope - Credentials and Authorisations,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-15-suspend-clinician-listings/spec.md
275,provider-management,UC-DepartmentalOfficer-ProviderDirectory-16,Reinstate Clinician Listings,Scope - Credentials and Authorisations,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-16-reinstate-clinician-listings/spec.md
276,provider-management,UC-DepartmentalOfficer-ProviderDirectory-17,Manage Electronic Service Endpoints,Scope - Electronic Services (Provider Directory),openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-17-manage-electronic-service-endpoints/spec.md
277,provider-management,UC-DepartmentalOfficer-ProviderDirectory-18,Verify Electronic Endpoints,Scope - Electronic Services (Provider Directory),openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-18-verify-electronic-endpoints/spec.md
278,provider-management,UC-DepartmentalOfficer-ProviderDirectory-19,Publish Clinician Profiles,Scope - Publication and Visibility (Provider Directory),openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-19-publish-clinician-profiles/spec.md
279,provider-management,UC-DepartmentalOfficer-ProviderDirectory-20,Manage Directory Visibility,Scope - Publication and Visibility (Provider Directory),openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-20-manage-directory-visibility/spec.md
280,provider-management,UC-DepartmentalOfficer-ProviderDirectory-26,Verify External Provider Organisations,Scope - Advanced Enterprise Provider Directory,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-26-verify-external-provider-organisations/spec.md
281,provider-management,UC-DepartmentalOfficer-ProviderDirectory-27,Manage Clinician Identifiers,Scope - Advanced Enterprise Provider Directory,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-27-manage-clinician-identifiers/spec.md
282,provider-management,UC-DepartmentalOfficer-ProviderDirectory-28,Manage Clinician Role History,Scope - Advanced Enterprise Provider Directory,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-28-manage-clinician-role-history/spec.md
283,provider-management,UC-DepartmentalOfficer-ProviderDirectory-29,Manage Verification Policies,Scope - Advanced Enterprise Provider Directory,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-29-manage-verification-policies/spec.md
