sequence,functional_domain,source_reference,title,source_scope,spec_path
35,provider-management,UC-Clinician-ParticipantIdentity-2,Clinician Searches for Participant Identity using Identifiers,Scope – Clinician Access/Use to Participant Identity,openspec/specs/provider-management/uc-clinician-participantidentity-2-clinician-searches-for-participant-identity-using-identifiers/spec.md
36,consent-and-information-sharing,UC-Clinician-Consent-1,View Participant Consents,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-1-view-participant-consents/spec.md
37,consent-and-information-sharing,UC-Clinician-Consent-2,Request Consent,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-2-request-consent/spec.md
38,consent-and-information-sharing,UC-Clinician-Consent-3,Record Consent,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-3-record-consent/spec.md
39,consent-and-information-sharing,UC-Clinician-Consent-4,Record Refusal of Consent,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-4-record-refusal-of-consent/spec.md
40,consent-and-information-sharing,UC-Clinician-Consent-5,Verify Consent,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-5-verify-consent/spec.md
41,consent-and-information-sharing,UC-Clinician-Consent-6,Confirm Participant Capacity,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-6-confirm-participant-capacity/spec.md
42,consent-and-information-sharing,UC-Clinician-Consent-7,Record Representative Consent,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-7-record-representative-consent/spec.md
43,consent-and-information-sharing,UC-Clinician-Consent-8,Verify Representative Authority,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-8-verify-representative-authority/spec.md
44,consent-and-information-sharing,UC-Clinician-Consent-9,Explain Consent Requirements,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-9-explain-consent-requirements/spec.md
45,consent-and-information-sharing,UC-Clinician-Consent-10,Document Consent Discussions,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-10-document-consent-discussions/spec.md
46,consent-and-information-sharing,UC-Clinician-Consent-11,View Consent History,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-11-view-consent-history/spec.md
47,consent-and-information-sharing,UC-Clinician-Consent-12,Identify Expired Consents,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-12-identify-expired-consents/spec.md
48,consent-and-information-sharing,UC-Clinician-Consent-13,Request Consent Renewal,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-13-request-consent-renewal/spec.md
49,consent-and-information-sharing,UC-Clinician-Consent-14,Respect Consent Restrictions,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-14-respect-consent-restrictions/spec.md
50,consent-and-information-sharing,UC-Clinician-Consent-15,Record Emergency Access,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-15-record-emergency-access/spec.md
51,consent-and-information-sharing,UC-Clinician-Consent-16,Record Research Consent,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-16-record-research-consent/spec.md
52,consent-and-information-sharing,UC-Clinician-Consent-17,Verify Information Sharing Consent,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-17-verify-information-sharing-consent/spec.md
53,consent-and-information-sharing,UC-Clinician-Consent-18,View Delegated Authorities,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-18-view-delegated-authorities/spec.md
54,consent-and-information-sharing,UC-Clinician-Consent-19,Record Withdrawal of Consent,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-19-record-withdrawal-of-consent/spec.md
55,consent-and-information-sharing,UC-Clinician-Consent-20,Receive Consent Alerts,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-20-receive-consent-alerts/spec.md
56,consent-and-information-sharing,UC-ExternalClinician-Consent-1,Request Access to Participant Information,Scope - Clinician Access to Participant Information,openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-1-request-access-to-participant-information/spec.md
57,consent-and-information-sharing,UC-ExternalClinician-Consent-2,Verify Participant Consent,Scope - Clinician Access to Participant Information,openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-2-verify-participant-consent/spec.md
58,consent-and-information-sharing,UC-ExternalClinician-Consent-3,View Consent Scope,Scope - Clinician Access to Participant Information,openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-3-view-consent-scope/spec.md
59,consent-and-information-sharing,UC-ExternalClinician-Consent-4,Identify Access Restrictions,Scope - Clinician Access to Participant Information,openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-4-identify-access-restrictions/spec.md
60,consent-and-information-sharing,UC-ExternalClinician-Consent-5,Request Participant Consent,Scope - Obtaining Consent,openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-5-request-participant-consent/spec.md
61,consent-and-information-sharing,UC-ExternalClinician-Consent-6,Record Participant Consent,Scope - Obtaining Consent,openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-6-record-participant-consent/spec.md
62,consent-and-information-sharing,UC-ExternalClinician-Consent-7,Record Refusal of Consent,Scope - Obtaining Consent,openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-7-record-refusal-of-consent/spec.md
63,consent-and-information-sharing,UC-ExternalClinician-Consent-8,Request Renewal of Consent,Scope - Obtaining Consent,openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-8-request-renewal-of-consent/spec.md
64,consent-and-information-sharing,UC-ExternalClinician-Consent-9,Share Clinical Information,Scope - Information Sharing,openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-9-share-clinical-information/spec.md
65,consent-and-information-sharing,UC-ExternalClinician-Consent-10,Verify Permission to Contribute Information,Scope - Information Sharing,openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-10-verify-permission-to-contribute-information/spec.md
